$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category
A97C0C,N710,US Department of the Interior,Quest Kodiak 100,K100,Gov,,,,
A9F008,N73985,Los Angeles Fire Department,Bell 47G-3B-1,B47G,Gov,,,,
AAEE31,N803NC,North Carolina Forest Service,Kodiak 100,K100,Gov,,,,
ABBECF,N856NA,NASA,AeromotAMT-200S TG-14A Super Ximango,RF10,Gov,,,,
AC964C,N91WF,Louisiana Department of Wildlife and Fisheries,Kodiak Aircraft Kodiak 100,K100,Gov,,,,
ACD5A1,N926NA,NASA,Martin/General Dynamics WB-57F Canberra,WB57,Gov,,,,
ACD958,N927NA,NASA,Martin/General Dynamics WB-57F Canberra,WB57,Gov,,,,
ACDD0F,N928NA,NASA,Martin/General Dynamics WB-57F Canberra,WB57,Gov,,,,
AD120C,N941NA,NASA,Boeing 377-SGT-201,SGUP,Gov,,,,
AD46BF,N9546T,Aerographics (DOJ),Cessna 210 Centurion,C210,Gov,,,,
C04605,C-GANK,United Nations,DHC-8-100,DH8A,Gov,,,,
C058DE,C-GHQZ,United Nations,DHC-8-100,DH8A,Gov,,,,
E47D2A,PT-MGS,State Gov of Minas Gerais,Cessna Citation VII,C650,Gov,,,,
E482D0,PR-ERR,State Gov of Roraima,Learjet 55C,LJ55,Gov,,,,
E90546,CX-CBS,Government of Uruguay,Hawker Siddeley 125 600A,H25A,Gov,,,,
